neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,availability_365,price
Manly,-33.7939948915177,151.278360453186,Entire home/apt,4,2,0.03,7,375
Manly,-33.7835275849737,151.274441482092,Entire home/apt,5,50,0.63,255,264
Sydney,-33.901749359875,151.185161634641,Entire home/apt,200,5,0.1,358,251
Waverley,-33.8928105216725,151.2640067515,Entire home/apt,10,53,0.68,265,109
Sydney,-33.8797470455412,151.200185160195,Entire home/apt,3,68,0.86,322,350
Waverley,-33.8957679209063,151.265766616507,Entire home/apt,21,6,0.1,0,155
Waverley,-33.898989566033,151.271454732988,Entire home/apt,2,56,0.93,308,174
Waverley,-33.8928785082849,151.268190735043,Private room,1,1,0.03,0,71
Sydney,-33.8630297856012,151.212218942845,Entire home/apt,3,269,3.67,290,270
Hurstville,-33.9862504538924,151.041103088409,Entire home/apt,14,15,0.22,150,90
Randwick,-33.9369890598428,151.232739126645,Entire home/apt,5,100,1.27,283,90
Randwick,-33.9026405353854,151.224206441095,Entire home/apt,3,58,0.74,7,100
Waverley,-33.8860985502787,151.269589517659,Entire home/apt,7,5,0.14,15,429
Waverley,-33.8810092871434,151.271259321298,Entire home/apt,2,26,0.36,97,98
Waverley,-33.8875416756548,151.273945079001,Entire home/apt,4,2,0.03,0,251
Sydney,-33.8712379252017,151.227718051983,Entire home/apt,21,4,0.12,0,100
Sydney,-33.89576521744,151.183291381269,Entire home/apt,1,42,0.72,344,150
Waverley,-33.8895452939116,151.272070581602,Private room,3,17,0.24,340,71
Manly,-33.8028366684429,151.289794267443,Entire home/apt,2,131,1.68,156,109
Pittwater,-33.648982730328,151.319270446839,Entire home/apt,1,127,1.66,335,199
Waverley,-33.8793185797529,151.274979931472,Entire home/apt,4,13,0.2,315,109
Sydney,-33.893188390897,151.189828698239,Entire home/apt,2,95,1.27,291,187
Sydney,-33.889706174257,151.206414813184,Entire home/apt,5,33,0.43,12,251
Sydney,-33.8768672627431,151.198504123089,Entire home/apt,7,10,0.24,40,145
Sydney,-33.8698842065039,151.222620194546,Entire home/apt,2,0,0,0,215
Warringah,-33.7369632353582,151.270166583436,Entire home/apt,90,0,0,364,180
Waverley,-33.8907688991009,151.255797325509,Entire home/apt,3,9,0.14,10,239
Sydney,-33.891452034533,151.211802003029,Entire home/apt,14,1,0.02,82,400
Waverley,-33.8980821869671,151.270010416369,Entire home/apt,5,4,0.08,0,320
Waverley,-33.8939207434471,151.271967895385,Private room,3,115,1.48,56,48
Waverley,-33.8898407049058,151.264183604191,Private room,3,120,1.62,357,90
Pittwater,-33.6043303010204,151.332386590963,Entire home/apt,2,57,1.04,330,450
Waverley,-33.8941409354961,151.26714703648,Private room,2,48,0.62,304,65
Waverley,-33.8959224648665,151.272021663023,Entire home/apt,2,32,0.44,300,251
Randwick,-33.9204635558744,151.256565944945,Entire home/apt,5,36,0.47,285,199
Sydney,-33.8917020958862,151.19499127424,Entire home/apt,2,65,0.86,0,109
Randwick,-33.9156418193984,151.251476898999,Private room,3,19,0.26,312,55
Waverley,-33.8957305022465,151.242838184223,Entire home/apt,7,1,0.03,253,590
Randwick,-33.9407022965266,151.257702344693,Entire home/apt,7,2,0.18,48,300
Randwick,-33.97223345188,151.252462992282,Private room,3,0,0,364,100
Marrickville,-33.8901471427116,151.168150939371,Private room,14,2,0.03,0,46
Sydney,-33.8766807422452,151.217191953185,Entire home/apt,7,5,0.15,354,395
Sydney,-33.87240844582,151.223274229863,Entire home/apt,2,231,3.03,242,140
Lane Cove,-33.8320451831036,151.166586287486,Private room,1,80,2.36,228,54
Manly,-33.802017174529,151.28874222542,Entire home/apt,7,85,1.46,11,195
Waverley,-33.8814581262022,151.276861292483,Entire home/apt,2,1,0.03,228,275
Marrickville,-33.9007057230563,151.164836307816,Entire home/apt,8,0,0,9,90
Ryde,-33.80262290015,151.087190891988,Entire home/apt,4,131,1.82,218,120
Woollahra,-33.8761284136618,151.263877761491,Entire home/apt,3,4,0.12,83,400
Sydney,-33.8763116140237,151.219439861604,Entire home/apt,3,12,0.16,340,251
Sydney,-33.8819401852048,151.218232800895,Entire home/apt,2,9,0.12,35,120
Leichhardt,-33.8610368106863,151.187320164048,Entire home/apt,7,6,0.08,357,750
Waverley,-33.8787291314713,151.275841723009,Entire home/apt,5,4,0.06,24,449
Pittwater,-33.6500786583763,151.320992212222,Private room,1,77,1.06,332,150
Randwick,-33.9465269666192,151.242426745225,Shared room,2,0,0,0,75
Rockdale,-33.9671720113156,151.150608215833,Private room,1,309,4.05,80,43
Waverley,-33.8961237002691,151.253258289664,Private room,1,163,2.26,279,78
Waverley,-33.8911419429449,151.28385254489,Entire home/apt,7,2,0.03,0,190
Waverley,-33.8823954611875,151.271031917822,Entire home/apt,7,0,0,0,180
Ku-Ring-Gai,-33.7601352439856,151.135921782983,Entire home/apt,3,9,0.14,362,390
Waverley,-33.8854991712432,151.274621931295,Entire home/apt,6,9,0.15,0,275
Sydney,-33.876979306455,151.222023456489,Entire home/apt,7,13,0.29,307,1501
Sydney,-33.8807809783845,151.216529482341,Private room,2,3,0.04,250,60
Waverley,-33.8934187032765,151.266567772429,Entire home/apt,5,17,0.24,155,199
Waverley,-33.8953287440055,151.251126984565,Private room,1,21,2.31,347,75
Leichhardt,-33.85582989336,151.192348960655,Entire home/apt,3,69,0.91,259,136
North Sydney,-33.8302910952159,151.202658666963,Entire home/apt,3,5,0.07,0,329
Warringah,-33.7459567202422,151.281424670969,Private room,2,0,0,364,120
Waverley,-33.892608237226,151.252847630483,Private room,7,36,0.48,0,50
Sydney,-33.8712318637977,151.230436790328,Entire home/apt,5,15,0.31,0,69
Sydney,-33.8795228089246,151.210734209887,Private room,1,17,0.35,162,96
Sydney,-33.8807398410976,151.185566919002,Entire home/apt,6,3,0.05,0,350
Sydney,-33.8759123220206,151.222053477789,Entire home/apt,3,291,3.84,328,133
Waverley,-33.8609259312006,151.279859040348,Private room,28,5,0.11,55,43
Randwick,-33.9089948201767,151.260673282848,Entire home/apt,9,0,0,355,975
Waverley,-33.8845775670159,151.277196717952,Entire home/apt,5,13,0.18,11,109
Sydney,-33.8946994815502,151.214284140147,Entire home/apt,7,1,0.01,0,170
Manly,-33.7868189683781,151.285581598533,Entire home/apt,2,18,0.25,0,220
Waverley,-33.8941141500009,151.269737676926,Entire home/apt,2,70,1.11,0,120
Canterbury,-33.9087413941806,151.111428005042,Entire home/apt,3,31,0.86,344,91
Sutherland Shire,-34.0416435351505,151.067523128331,Entire home/apt,2,188,2.49,245,96
Randwick,-33.9230484071775,151.245547214864,Entire home/apt,5,4,0.06,288,397
Sydney,-33.8775347220144,151.225847254467,Entire home/apt,5,67,1.06,304,190
Waverley,-33.8898994614965,151.272079853602,Entire home/apt,1,54,0.72,104,186
Warringah,-33.753761573537,151.26013174411,Private room,2,3,0.04,314,65
Ku-Ring-Gai,-33.7494110537186,151.144814834736,Entire home/apt,7,30,0.41,231,115
Botany Bay,-33.9271214879832,151.223273637266,Entire home/apt,15,0,0,15,198
Sydney,-33.871713208427,151.230628801322,Entire home/apt,7,0,0,0,53
Sydney,-33.8868741964291,151.208870256528,Entire home/apt,365,2,0.03,274,93
Manly,-33.8012501745283,151.26575329484,Entire home/apt,7,37,0.51,257,220
Waverley,-33.9064475249057,151.262485039101,Entire home/apt,5,17,0.29,22,129
Waverley,-33.8915781257337,151.267306828605,Entire home/apt,2,9,0.19,5,195
Sydney,-33.8948945770095,151.212495565371,Private room,4,3,0.11,0,100
Leichhardt,-33.8473826310424,151.184808073409,Entire home/apt,3,66,0.89,155,198
Sydney,-33.8920967887814,151.200071324014,Entire home/apt,1,391,5.27,101,136
Sydney,-33.909865656939,151.199496557009,Private room,3,9,0.71,14,55
Leichhardt,-33.8810929138344,151.168009782784,Private room,5,95,1.29,0,75
Woollahra,-33.8704713599766,151.235871397355,Entire home/apt,5,4,0.07,13,999
Waverley,-33.9042194426089,151.258274147372,Private room,7,2,0.03,365,120
Warringah,-33.7550658879532,151.26041189986,Private room,2,12,0.18,315,65
Warringah,-33.75569626202,151.260635816984,Private room,5,9,0.18,313,55
Woollahra,-33.873356982478,151.239898551536,Private room,3,175,2.42,189,125
Waverley,-33.8931322843516,151.270953346973,Entire home/apt,5,4,0.06,0,320
Leichhardt,-33.8588295123773,151.168572789111,Private room,2,115,1.55,177,100
Manly,-33.7922025450477,151.279883527179,Entire home/apt,5,13,0.19,106,399
Waverley,-33.8938840251267,151.265509010047,Entire home/apt,7,7,0.1,54,295
Randwick,-33.9123827827477,151.260420512564,Entire home/apt,6,74,1.01,253,195
Sydney,-33.8820634741313,151.210499186245,Entire home/apt,5,52,0.7,258,186
Waverley,-33.875922864675,151.281931316649,Entire home/apt,14,0,0,0,1101
Randwick,-33.915230560455,151.24369724762,Entire home/apt,7,0,0,173,630
Waverley,-33.8937673562278,151.267308342223,Entire home/apt,7,8,0.13,7,197
Hornsby,-33.6949867702965,151.099997836934,Private room,2,14,0.21,365,65
Randwick,-33.9443178527494,151.254852992447,Entire home/apt,6,10,0.14,160,190
Sydney,-33.879344782095,151.213519018673,Entire home/apt,2,31,0.44,0,100
Waverley,-33.8887260304176,151.278530509569,Entire home/apt,10,5,0.09,0,174
Waverley,-33.8852152614431,151.281738887936,Entire home/apt,7,0,0,0,900
Sydney,-33.8984669192417,151.213106170767,Entire home/apt,5,4,0.06,0,320
